Date,Stage,Match,Team,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,K,D,A,Gold,Level,Win,Tower,Lord ,Turtle,"Buff 
Merah","Buff
 Biru"
3/8/2024,Regular Season,1,Alter Ego,Pai,Terizla,Fighter,Gusion,Assassin,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,14:20,1,0,6,9.3,15,Win,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Tazz,Nolan,Assassin,Faramis,Support/Mage,Retribution,Assassin,Rupture,Seasoned Hunter,Lethal Ignition,14:20,4,1,2,12.3,15,Win,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Cr1te,Vexana,Mage,Ruby,Fighter/Tank,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,14:20,4,1,5,9.1,14,Win,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Rasy,Tigreal,Tank,Baxia,Tank,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,14:20,0,1,8,9.3,13,Win,9,2,2,11,12
3/8/2024,Regular Season,1,Alter Ego,Nino,Harith,Mage,Fredrinn,Fighter/Tank,Purify,Mage,Inspire,Festival of Blood,Impure Rage,14:20,2,0,6,11.1,15,Win,9,2,2,11,12
3/8/2024,Regular Season,1,EVOS Glory,Veldora,Phoveus,Fighter,Uranus,Tank,Purify,Fighter,Inspire,Festival of Blood,Impure Rage,14:20,1,1,0,8.1,13,Lose,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,VAN,Martis,Fighter,Grock,Tank/Fighter,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,14:20,1,4,0,6.9,13,Lose,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Warlord,Novaria,Mage,Arlott,Fighter/Assassin,Purify,Mage,Rupture,Wilderness Blessing.,Impure Rage,14:20,0,2,2,7.3,13,Lose,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,VaanStrong,Minotaur,Tank/Support,Cici,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,14:20,0,4,1,6,12,Lose,0,0,1,4,4
3/8/2024,Regular Season,1,EVOS Glory,Super Red,Karrie,Marksman,Mathilda,Support/Assassin,Purify,Common,Firmness,Festival of Blood,Brave Smite,14:20,1,0,1,9,13,Lose,0,0,1,4,4
3/8/2024,Regular Season,2,EVOS Glory,Veldora,Paquito,Fighter/Assassin,Minotaur,Tank/Support,Sprint,Fighter,Agility,Festival of Blood,Quantum Charge,17:40,1,4,0,9.3,15,Lose,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,VAN,Baxia,Tank,Tigreal,Tank,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:40,0,3,2,8,15,Lose,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Warlord,Lylia,Mage,Nolan,Assassin,Sprint,Mage,Inspire,Wilderness Blessing.,Impure Rage,17:40,1,3,1,10.1,15,Lose,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,VaanStrong,Ruby,Fighter/Tank,Arlott,Fighter/Assassin,Flicker,Tank,Vitality,Wilderness Blessing.,Brave Smite,17:40,0,6,2,7.4,14,Lose,2,0,1,5,7
3/8/2024,Regular Season,2,EVOS Glory,Super Red,Harith,Mage,Fanny,Assassin,Flicker,Mage,Inspire,Festival of Blood,Impure Rage,17:40,0,3,1,9.9,15,Lose,2,0,1,5,7
3/8/2024,Regular Season,2,Alter Ego,Pai,Terizla,Fighter,Guinevere,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,17:40,8,0,3,14.8,15,Win,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Tazz,Joy,Assassin,Mathilda,Support/Assassin,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,17:40,4,1,10,9.8,15,Win,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Cr1te,Phoveus,Fighter,Cici,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Impure Rage,17:40,2,0,11,10,15,Win,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Rasy,Angela,Support,Faramis,Support/Mage,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,17:40,4,0,10,15.8,15,Win,8,3,2,11,11
3/8/2024,Regular Season,2,Alter Ego,Nino,Brody,Marksman,Odette,Mage,Flicker,Assassin,Rupture,Master Assassin,Quantum Charge,17:40,1,1,10,9.7,15,Win,8,3,2,11,11
3/8/2024,Regular Season,1,Rebellion Esports,Karss,Ruby,Fighter/Tank,Kaja,Support/Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,17:36,1,2,2,7.7,14,Lose,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Vincentt,Hanzo,Assassin,Claude,Marksman,Retribution,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,17:36,5,2,1,12.2,15,Lose,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,SwayLow,Valentina,Mage,Nolan,Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,17:36,0,3,5,9,15,Lose,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,AudyTzy,Tigreal,Tank,Cici,Fighter,Flicker,Tank,Firmness,Tenacity,Concussive Blast,17:36,0,3,4,6.8,14,Lose,5,1,2,9,11
3/8/2024,Regular Season,1,Rebellion Esports,Moai,Bruno,Marksman,Fanny,Assassin,Purify,Assassin,Fatal,Tenacity,Quantum Charge,17:36,2,3,2,9.8,15,Lose,5,1,2,9,11
3/8/2024,Regular Season,1,"Dewa United Esports",Dyx0n,Arlott,Fighter/Assassin,Mathilda,Support/Assassin,Flicker,Common,Rupture,Tenacity,Brave Smite,17:36,4,2,7,9.1,15,Win,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Garry,Baxia,Tank,Joy,Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,17:36,3,2,6,9,15,Win,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Keyz,Vexana,Mage,Novaria,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,17:36,0,1,9,9.1,15,Win,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Drian,Chou,Fighter,Barats,Tank/Fighter,Flicker,Assassin,Thrill,Wilderness Blessing.,Lethal Ignition,17:36,2,3,5,10.1,15,Win,1,1,7,8,6
3/8/2024,Regular Season,1,"Dewa United Esports",Watt,Karrie,Marksman,Fredrinn,Fighter/Tank,Purify,Common,Firmness,Festival of Blood,Brave Smite,17:36,4,0,7,13.6,15,Win,1,1,7,8,6
3/8/2024,Regular Season,2,"Dewa United Esports",Dyx0n,Thamuz,Fighter,Nolan,Assassin,Vengeance,Fighter,Thrill,Festival of Blood,Impure Rage,20:20,4,4,3,13,15,Win,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Garry,Fredrinn,Fighter/Tank,Cici,Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,20:20,3,1,3,11.6,15,Win,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Keyz,Novaria,Mage,Fanny,Assassin,Flicker,Assassin,Rupture,Wilderness Blessing.,Impure Rage,20:20,1,0,9,12.2,15,Win,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Drian,Minotaur,Tank/Support,Arlott,Fighter/Assassin,Flicker,Tank,Firmness,Tenacity,Concussive Blast,20:20,0,2,8,9.8,15,Win,9,3,2,10,13
3/8/2024,Regular Season,2,"Dewa United Esports",Watt,Karrie,Marksman,Lapu-Lapu,Fighter,Flicker,Common,Firmness,Tenacity,Brave Smite,20:20,4,0,4,14.4,15,Win,9,3,2,10,13
3/8/2024,Regular Season,2,Rebellion Esports,Karss,X.Borg,Fighter,Ruby,Fighter/Tank,Flicker,Tank,Agility,Festival of Blood,Brave Smite,20:20,2,1,3,10.9,15,Lose,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Vincentt,Baxia,Tank,Kaja,Support/Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,20:20,0,5,4,9.6,15,Lose,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,SwayLow,Valentina,Mage,Guinevere,Fighter,Flicker,Mage,Inspire,Wilderness Blessing.,Quantum Charge,20:20,0,3,3,9.7,15,Lose,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,AudyTzy,Angela,Support,Joy,Assassin,Flicker,Support,Inspire,Wilderness Blessing.,Focusing Mark,20:20,2,1,4,10.4,15,Lose,2,0,1,6,7
3/8/2024,Regular Season,2,Rebellion Esports,Moai,Claude,Marksman,Mathilda,Support/Assassin,Purify,Common,Firmness,Tenacity,Brave Smite,20:20,3,2,1,13.3,15,Lose,2,0,1,6,7
3/9/2024,Regular Season,1,"Bigetron Alpha",Xorizo,X.Borg,Fighter,Tigreal,Tank,Flicker,Fighter,Agility,Festival of Blood,Brave Smite,17:45,4,2,7,10.2,15,Win,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Kenn,Gusion,Assassin,Lapu-Lapu,Fighter,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,17:45,2,2,10,9.6,15,Win,8,1,2,10,8
3/9/2024,Regular Season,1,"Bigetron Alpha",Morenoo,Vexana,Mage,Karrie,Marksman,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,17:45,5,1,7,10.1,15,Win,8,1,2,10,8
